ActualSpread,Spread<3Result
2.5,FavLoses
2,FavLoses
1,FavLoses
1,FavWins
1.5,FavWins
1.5,FavLoses
2.5,FavWins
2.5,FavWins
2.5,FavLoses
1.5,FavWins
1,FavLoses
2.5,FavWins
2.5,FavWins
2.5,FavLoses
2.5,FavLoses
1,FavLoses
1.5,FavWins
2.5,FavLoses
1.5,FavWins
2.5,FavWins
1.5,FavWins
2.5,FavWins
2.5,FavWins
1,FavLoses
1.5,FavLoses
2.5,FavLoses
2.5,FavWins
2.5,FavLoses
2,FavWins
1,FavLoses
1.5,FavLoses
1,FavWins
1,FavLoses
2.5,FavWins
1.5,FavWins
1.5,FavLoses
1,FavWins
2.5,FavLoses
2.5,FavWins
2.5,FavLoses
2.5,FavWins
2.5,FavLoses
2.5,FavLoses
2.5,FavWins
2.5,FavWins
2.5,FavLoses
1,FavWins
1,FavWins
2.5,FavWins
2.5,FavWins
1,FavLoses
2.5,FavWins
2.5,FavWins
1.5,FavWins
1,FavLoses
2.5,FavWins
2.5,FavLoses
2.5,FavWins
1,FavWins
1.5,FavWins
1,FavWins
2.5,FavWins
2.5,FavLoses
